city,lat,lng,max_temp,humidity,cloudiness,windspeed
Namibe,-15.19,12.15,71.53,85,99,8.39
Hit,33.64,42.83,53.17,60,0,6.89
Port Hardy,50.7,-127.42,41.0,86,75,12.75
Preston,53.76,-2.71,45.0,81,40,6.93
Aksarka,66.56,67.8,6.76,83,14,14.88
Luganville,-15.51,167.18,84.2,79,75,10.29
Beliu,46.49,21.99,24.8,92,0,1.12
Wanaka,-44.7,169.14,51.49,55,74,5.95
Ampanihy,-24.69,44.75,76.95,72,81,3.67
Westport,41.14,-73.36,45.0,52,40,8.05
Russell,38.9,-98.86,50.0,25,1,20.8
Usman,52.05,39.74,28.4,68,75,4.47
Juneau,58.3,-134.42,32.0,86,90,10.29
Aste,45.79,11.1,37.0,86,0,3.36
Altay,47.83,88.13,8.82,50,4,4.63
Padang,-0.92,100.36,69.21,88,91,4.97
Alofi,-19.06,-169.92,84.2,79,75,4.7
Whitehorse,60.72,-135.06,-9.0,76,90,2.24
Liuli,-11.1,34.65,81.07,69,80,8.88
Saint-Joseph,43.56,6.97,50.0,93,75,2.24
Garissa,-0.46,39.64,77.72,78,46,7.67
Coihaique,-45.58,-72.07,55.4,71,90,2.24
Lae,-6.72,146.98,77.0,88,75,9.17
Cabo San Lucas,22.89,-109.91,80.01,47,5,3.36
Nouadhibou,20.93,-17.03,62.6,63,100,18.34
Jalingo,10.3,10.93,68.02,33,0,12.86
Sept-Iles,50.2,-66.38,3.99,59,20,8.05
Visby,57.64,18.3,44.01,93,94,11.41
Phan Thiet,10.93,108.1,71.64,76,78,2.68
Amarwara,22.3,79.17,54.59,53,0,5.68
Eureka,40.8,-124.16,55.0,58,1,4.7
Makokou,0.56,12.85,72.05,76,9,1.63
Tarko-Sale,64.92,77.78,5.65,93,96,10.89
Afrikanda,67.44,32.78,10.78,96,14,2.46
Tiznit,29.7,-9.73,49.71,56,0,3.42
