city,lat,lng,max_temp,humidity,cloudiness,windspeed
North Platte,41.12,-100.77,44.6,33,20,18.34
Matagami,9.67,8.4,64.4,39,0,4.7
Port Alfred,-33.59,26.89,69.01,97,100,9.04
Gao,16.28,-0.04,62.31,21,4,8.66
Coquimbo,-29.95,-71.34,71.6,53,0,10.29
Anloga,5.79,0.9,78.8,74,1,2.24
Manbij,36.53,37.96,42.8,93,75,13.87
Ilmajoki,62.73,22.58,35.6,100,90,11.41
Khatanga,71.98,102.47,7.12,93,99,13.02
Hermanus,-34.42,19.24,64.0,79,98,3.0
Chernyshevskiy,63.01,112.47,15.21,92,100,9.91
College,64.86,-147.8,-26.0,65,20,2.39
Lotofaga,-13.98,-171.86,91.4,66,40,16.11
Kununurra,-15.77,128.74,80.6,88,40,1.12
Pisco,-13.71,-76.2,71.6,30,1,21.92
Marsh Harbour,26.54,-77.06,69.51,57,37,8.93
Lala,7.97,123.75,72.88,89,100,3.69
Harsud,21.96,76.7,59.54,51,0,2.59
Omsukchan,62.53,155.8,-8.68,67,93,2.19
Vila Franca do Campo,37.72,-25.43,64.4,93,75,10.29
Narsaq,60.91,-46.05,-0.4,30,5,5.82
Marihatag,8.8,126.3,81.82,77,100,16.58
Hithadhoo,-0.6,73.08,83.32,76,100,11.63
Gamba,28.28,88.52,8.85,38,67,0.51
Moose Factory,51.26,-80.61,10.4,78,90,14.99
Hulan,34.23,47.18,26.6,86,0,4.7
Constitucion,23.99,-104.67,69.8,10,75,5.82
Kloulklubed,7.04,134.26,82.0,75,76,21.79
Barrow,-38.31,-60.23,59.86,62,32,7.99
Anadyr,64.73,177.51,-27.0,67,0,4.47
Saint-Pierre,48.95,4.24,42.8,100,90,13.87
Gat,14.69,-16.54,68.0,64,66,11.41
Nome,30.04,-94.42,73.4,60,40,6.93
Fairlie,33.31,-95.96,64.4,36,1,6.93
Tilichiki,60.47,166.1,3.78,94,100,7.07
Hilo,19.71,-155.08,84.2,54,75,11.41
Mitsamiouli,-11.38,43.28,82.13,80,44,7.7
Port Elizabeth,39.31,-74.98,48.2,45,1,4.7
Irbeyskoye,55.64,95.45,12.97,83,0,1.3
Carnarvon,-30.97,22.13,65.91,68,90,13.02
Shimoda,34.7,138.93,48.2,57,75,6.93
Cine,37.61,28.06,48.2,87,75,8.05
High Level,58.52,-117.13,-16.6,75,20,10.29
Saint-Philippe,45.36,-73.48,30.0,85,90,2.24
Thompson,55.74,-97.86,-2.2,84,90,10.29
Torbay,47.66,-52.73,28.0,86,90,9.17
Chuy,-33.69,-53.46,68.36,74,35,6.11
Soe,57.91,26.05,36.0,100,90,8.05
Trincomalee,8.58,81.23,73.33,95,65,2.62
Nikolskoye,59.7,30.79,35.01,96,90,11.18
Ola,59.58,151.3,3.67,70,0,5.26
Ponta do Sol,-20.63,-46.0,68.58,92,9,2.48
Pekan,3.49,103.39,75.2,88,20,13.15
Georgetown,6.8,-58.16,78.8,88,20,6.93
Pacific Grove,36.62,-121.92,64.0,63,1,11.41
Macau,-5.11,-36.64,81.39,79,64,16.04
Kavaratti,10.57,72.64,80.62,72,100,5.68
Avera,33.19,-82.53,64.4,48,1,5.82
Bonthe,7.53,-12.5,76.68,74,2,7.02
Mitu,36.2,46.09,19.09,84,0,2.89
Masuguru,-11.38,38.46,75.56,94,99,6.26
Jimo,36.39,120.46,42.01,86,90,15.66
Bayangol,48.91,106.09,-2.49,86,17,3.38
Vila,45.18,8.4,39.0,100,0,2.24
Marystown,47.17,-55.16,25.61,86,100,10.56
Mogok,22.92,96.51,50.59,98,2,2.17
Lebu,8.96,38.73,53.6,87,20,6.93
Clyde River,70.47,-68.59,-18.4,75,75,23.04
Mercedes,-33.25,-58.03,75.99,44,50,5.99
Itapirapua,-15.82,-50.61,71.83,96,84,5.57
Kupang,-10.16,123.6,80.6,88,75,11.41
Moyale,3.52,39.05,75.4,55,0,9.28
Hay River,60.82,-115.79,-13.0,75,75,10.29
Kodiak,39.95,-94.76,45.0,48,75,6.93
Muroto,33.37,134.14,46.4,87,75,9.17
Laredo,27.51,-99.51,80.6,26,1,3.09
Kruisfontein,-34.0,24.73,64.38,90,100,5.44
Akdepe,42.05,59.39,23.0,79,90,2.24
Usinsk,66.0,57.56,8.06,94,100,16.37
Hasaki,35.73,140.83,36.0,74,20,3.36
Lompoc,34.64,-120.46,73.99,26,1,3.36
Vao,59.1,26.19,36.48,97,100,7.56
